"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000175130",1340.74137718279,1.13878189689506,0.176895915620758,6.43758163041175,1.21392041833054e-10,7.90350401083304e-09,"MARCKSL1"
"ENSG00000276600",677.444883343467,1.84399437940462,0.162554513180839,11.3438522457584,7.95633172834836e-30,5.5446791778001e-27,"RAB7B"
"ENSG00000162426",368.266892324723,-1.307640162069,0.144981176277009,-9.01937889902717,1.89158683672583e-19,4.5630894769017e-17,"SLC45A1"
"ENSG00000133216",808.201619248803,1.73932759956848,0.376311376348021,4.62204362899704,3.79978071208753e-06,8.43121154229234e-05,"EPHB2"
"ENSG00000137959",227.910952355674,-1.78965415717475,0.371658481666432,-4.81531902393388,1.46964905620757e-06,3.61476034530741e-05,"IFI44L"
"ENSG00000153904",6456.61230838659,-1.30667601248484,0.320365457442868,-4.078704436223,4.52873683316921e-05,0.000736497080837614,"DDAH1"
"ENSG00000134259",124.524715038033,1.42092230323444,0.428748687398548,3.31411464337289,0.000919338050845857,0.0090788542317699,"NGF"
"ENSG00000223764",58.5397855123412,1.73947930315389,0.433510254752894,4.01254476470323,6.00676835551159e-05,0.000930999615958041,"LINC02593"
"ENSG00000134376",12.810997263598,1.85717842995571,0.560425769974639,3.31387050606141,0.000920141104378465,0.0090788542317699,"CRB1"
"ENSG00000143320",3281.66204275122,1.66840530877979,0.200556234313089,8.31889028278841,8.87906935406083e-17,1.52136238581831e-14,"CRABP2"
"ENSG00000187634",147.428005401158,1.46298339789074,0.498049344015371,2.93742661338711,0.00330948489719003,0.0250076932500764,"SAMD11"
"ENSG00000203943",26.2541704909674,1.42973684022907,0.383358305569175,3.7295053203721,0.000191856055577929,0.00247898583673309,"SAMD13"
"ENSG00000229657",37.7835557825012,-1.06134131628138,0.378387913525673,-2.80490279510307,0.0050331756118696,0.0346935435502838,"RPL13AP11"
"ENSG00000162493",2368.03885123486,-1.86894459054487,0.618846424747612,-3.02004587213555,0.0025273640400842,0.0203573980215001,"PDPN"
